,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit
918,Capture Fisheries_Annual production_BR,Capture Fisheries,BRA,Brazil,0.01731589,-1551.134513,0.234086269,1964.180481,0.724155367,0.184547673,0.70871092,18.77277625,1960,61,,,6.58697136,5.4524273,,,4.75,,,3590.8,0.121946,,2,,,,err,Not Democracy,8.186130298,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
919,Capture Fisheries_Annual production_CN,Capture Fisheries,CHN,China,0.030056426,-3.70E+22,0.130517862,1989.31665,0.934353557,0.065444071,0.906572753,33.66933153,1960,61,7.578,,5.408987727,3.696140675,-1391750000,,-7.633333333,,,1729.933333,-0.120072667,,3,,,,err,Not Democracy,7.455838151,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
920,Capture Fisheries_Annual production_GA,Capture Fisheries,GAB,Gabon,0.026258939,-4.44E+17,0.12323938,1979.974434,0.776229109,0.079402936,0.753240498,35.6578325,1960,61,,,44.25437257,1.0474518,-42798561.17,,-8.238095238,,,6611.190476,-0.431834952,,3,,,,err,Not Democracy,8.796519019,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
921,Capture Fisheries_Annual production_BN,Capture Fisheries,BRN,Brunei Darussalam,0.046584526,-2.23E+53,0.058303646,2218.803397,0.519077566,err,0.753240498,75.37177244,1960,61,5.54,0.087245,36.12866395,1.552855934,-337132945.4,14.63802466,,,,,,0.952466535,5,H,,,H,,,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
922,Capture Fisheries_Annual production_BG,Capture Fisheries,BGR,Bulgaria,err,,0.876930135,1787.737952,0,7.533213985,-2.22E-16,5.011173616,1960,61,,,,,,,,,,,,,,,,,err,,,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
923,Capture Fisheries_Annual production_BF,Capture Fisheries,BFA,Burkina Faso,0.044628807,-3.21E+49,0.043634203,2296.17202,0.883564013,err,-2.22E-16,100.711114,1960,61,5.7383872,0.220735714,24.97530315,1.139026709,-141570649.9,10.17395756,-3.24137931,4.958279,6.2092566,1244.318681,-0.241607071,-0.693938973,4,L,,,L,Not Democracy,7.126343415,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
924,Capture Fisheries_Annual production_BI,Capture Fisheries,BDI,Burundi,err,,0.006329835,3039.068366,0.12241669,err,-2.22E-16,694.2438548,1960,61,14.17323649,0.158856667,21.61354229,1.5535136,-9315149.39,3.607318748,-2.510204082,,,846.1312051,-0.790807407,-1.301644504,4,L,,,L,Not Democracy,6.740674436,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
925,Capture Fisheries_Annual production_CV,Capture Fisheries,CPV,Cabo Verde,0.041494764,-7.25E+44,0.046142448,2036.262729,0.722767839,0.003244278,0.721090793,95.23658476,1960,61,9.749744676,0.07264,61.91485447,0.576110224,-64615904.13,0.341248413,4.613636364,,,2912.715436,0.400237317,0.026931735,1,LM,,,LM,Not Democracy,7.976841064,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
926,Capture Fisheries_Annual production_KH,Capture Fisheries,KHM,Cambodia,0.045381844,-2.40E+52,0.164270623,2001.75684,0.934431569,0.104230496,0.920966208,26.75127823,1960,61,,0.0498,31.29507586,1.218149198,-152127372.8,,-4.576923077,,,1302.936972,-0.680956279,-0.826125775,3,,,,L,Not Democracy,7.172376205,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
927,Capture Fisheries_Annual production_CM,Capture Fisheries,CMR,Cameroon,0.028252273,-8.48E+18,0.036334808,2352.756544,0.916784758,err,0.920966208,120.9432332,1960,61,,,23.26376822,2.401379294,-258720522.7,5.5935599,-5.101694915,,,1992.139944,-0.395205536,-0.868432698,3,,,,LM,Not Democracy,7.596964689,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
928,Capture Fisheries_Annual production_CA,Capture Fisheries,CAN,Canada,err,,1.023024705,1958.794825,0.023080432,0.976245593,0.022956455,4.295545486,1960,61,,,,,,,,,,,,,,,,,err,,,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
929,Capture Fisheries_Annual production_KY,Capture Fisheries,CYM,Cayman Islands,-0.033812058,4.44E-16,1.326526288,1933.550693,6.66E-16,7.371919126,2.22E-16,3.312749392,1979,42,,,,,,,,,,,,,,,,,err,,,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
930,Capture Fisheries_Annual production_CF,Capture Fisheries,CAF,Central African Republic,0.044569144,-9.28E+50,0.05113993,2007.668736,0.887451725,0.017674259,0.886331302,85.92990139,1960,61,,,31.34024392,2.513250002,-909155.4673,,-3.775510204,,,1180.908712,-1.078681633,-1.40426452,4,,,,L,Not Democracy,7.074039516,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
931,Capture Fisheries_Annual production_TD,Capture Fisheries,TCD,Chad,0.046158044,0.651052813,0.012580342,2782.818433,0.617104013,err,0.886331302,349.310791,1960,61,,0.3005,32.59491705,0.913812534,-8888779.346,,-3.979591837,,,1018.413331,-0.982664286,-1.313155211,3,L,,,L,Not Democracy,6.926001137,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
932,Capture Fisheries_Annual production_CL,Capture Fisheries,CHL,Chile,0.030662802,-9.27E+25,-0.303074516,2019.806613,0.030871093,0.3842435,0.535623936,-14.4995667,1960,61,15.79409832,0.358216923,24.68865262,1.827948039,-3257038156,7.451036264,4.152542373,5.874333333,6.428666667,12346.70549,0.994023214,1.053756016,2,,,,H,Not Democracy,9.421144545,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
933,Capture Fisheries_Annual production_ET,Capture Fisheries,ETH,Ethiopia,0.032968706,-1.20E+30,0.088108132,2141.208548,0.782836479,err,0.535623936,49.87563646,1960,61,9.024284708,0.294108,24.80732467,1.154572651,-1617423484,6.776526023,-1.166666667,6.9707968,7.81848775,970.917178,-0.607519893,-0.722697873,3,L,,,L,Not Democracy,6.878241169,1.063829787,High Material Use,n/d,n/d,1881,Mass-customized [2],Design-Intensive [2],Firms [1],,Low,,Decades,No,No,No,Sea and Water,Human Necessities,Annual production,metric tons
934,Sulphuric Acid_Annual Production_CSK,Sulphuric Acid,,Czechoslovakia,err,,0.262317686,1955.881874,0.399942877,0.201937208,0.385499689,16.75239372,1925,61,,,,,,,,,,,,,,,,,err,,,6.991051454,High Material Use,,,1838,Customized [3],Complex [3],Firms [1],3048700,Low,30,Decades,No,No,Yes,Chemicals and Industrial,Chemistry; Metallurgy,Annual Production,thousand metric tons
935,Telegraph Traffic_Total Number_CN,Telegraph Traffic,CHN,China,0.107886346,-3.23E+148,0.106081436,1984.663108,0.996301852,0.030986189,0.994732475,41.42524208,1929,65,6.6,,4.563279146,4.7155694,-770750000,,-7.166666667,,,1325.76087,-0.226749231,,3,,,,err,Not Democracy,7.189741815,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
936,Beer_Annual Production_MA,Beer Production,MAR,Morocco,err,,0.249503656,1939.244572,0.454444438,0.183313727,0.443487227,17.61276458,1930,61,,,,,,,,,,,,,,,,,err,,,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres
937,Tin_Annual Production_BR,Tin,BRA,Brazil,0.079791529,-1.63E+113,0.373893038,1979.13972,0.714319168,0.287733229,0.698167533,11.75322541,1943,61,,,7.764353395,5.763072333,-1670800000,,-0.742857143,,,3808.216216,0.1671345,,2,,,,err,Not Democracy,8.244916174,0.056071413,Low Material Use,,,1910,Customized [3],Complex [3],Firms [1],Expensive,Low,,Decades,No,No,No,Materials,Fixed Constructions,Annual Production,thousand metric tons
938,Beer_Annual Production_BO,Beer Production,BOL,Bolivia,0.041176639,-1.97E+42,0.044313084,2199.66663,0.883835109,err,0.782885984,99.1682075,1937,61,24.66360966,0.28114625,28.40675258,0.894949354,-302807809,6.418328153,2.12195122,5.4223514,6.2438316,3728.547739,-0.398898571,-0.504278036,2,,,,LM,Not Democracy,8.223774091,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres
939,Nitrogen Fertilizer_Annual Production_NL,Nitrogen Fertilizer,NLD,Netherlands,0.021553876,-2456044370,0.212302675,1967.342803,0.789623643,0.161292804,0.780362515,20.69898154,1961,60,,,,5.868217317,736187840,,10,,,14843.28571,1.607,,0,,,,err,Democracy,9.605302902,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
940,Nitrogen Fertilizer_Annual Production_PH,Nitrogen Fertilizer,PHL,Philippines,0.036263302,-3.04E+35,-0.279940378,2019.273971,0.025346424,-18.87945622,0,-15.69780389,1961,60,12.94691858,0.144683333,31.52892872,2.665427435,-853326310.1,61.303299,3.298245614,6.2625,6.94958325,4058.009264,0.133889273,0.021694899,2,LM,,,LM,Not Democracy,8.308447803,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
941,Phosphate Fertilizer_Annual Production_SE,Phosphate Fertilizer,SWE,Sweden,-0.052854428,0,27.55094003,1902.269088,0,5.350196969,0,0.159502694,1961,47,,,,,,,,,,,,,,,,,err,,,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
942,Nitrogen Fertilizer_Annual Production_SE,Nitrogen Fertilizer,SWE,Sweden,err,,-0.197909858,2002.287031,0.403850094,-0.157671228,0.385596792,-22.20429641,1961,47,8.545681818,3.509686667,27.01790514,4.571145902,567785307.9,,10,,,24279.57094,2.299714286,1.91208215,0,,,,H,Democracy,10.09739057,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
943,Potash Fertilizer_Annual Production_ES,Potash Fertilizer,ESP,Spain,0.01784374,-9600.087871,0.232867955,1963.837546,0.607338954,0.196496265,0.609810491,18.87099128,1961,60,,,,6.088336667,,,-7,,,6313.5,0.5122,,4,,,,err,Not Democracy,8.750445477,3.461481227,High Material Use,,1843,1861,Customized [3],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
944,Phosphate Fertilizer_Annual Production_ES,Phosphate Fertilizer,ESP,Spain,err,,-0.126308104,2015.395902,0.48651466,-0.099507565,0.479408084,-34.79150602,1961,60,,1.0992475,22.62156787,4.922232665,5331879008,6.535457089,5.346153846,6.52973055,6.759508,19033.13589,1.39154,1.265098674,0,H,,,H,Not Democracy,9.853936734,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
945,Nitrogen Fertilizer_Annual Production_ES,Nitrogen Fertilizer,ESP,Spain,0.028855686,-1.30E+22,0.373638563,1966.59177,0.804816418,0.281567398,0.793017904,11.76123021,1961,60,,,,6.477911633,,,-7,,,6967.142857,0.558585714,,4,,,,err,Not Democracy,8.8489605,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
946,Nitrogen Fertilizer_Annual Production_NO,Nitrogen Fertilizer,NOR,Norway,err,,0.044942692,1958.985089,0.657953572,0.03421114,0.659222055,97.77894775,1961,60,,,,,,,,,,,,,,,,,err,,,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
947,Phosphate Fertilizer_Annual Production_ZA,Phosphate Fertilizer,ZAF,South Africa,err,,0.507176218,1962.923956,0.192355803,0.407400219,0.187117627,8.664541035,1961,60,6.180555667,,18.80985,,,,4,,,5096.666667,-0.238166667,,3,,,,err,Not Democracy,8.53634201,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
948,Nitrogen Fertilizer_Annual Production_ZA,Nitrogen Fertilizer,ZAF,South Africa,0.024733072,-2.59606E+15,0.426201006,1968.351817,0.440645593,0.348808345,0.42972893,10.31074326,1961,60,6.916666625,,20.29288575,,,,4,,,5538,-0.253125,,3,,,,err,Not Democracy,8.619388704,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
949,Phosphate Fertilizer_Annual Production_RO,Phosphate Fertilizer,ROU,Romania,-0.017434641,5.55E-16,4.400875393,1906.3296,0,7.597154442,0,0.998539782,1961,60,,,,,,,,,,,,,,,,,err,,,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
950,Nitrogen Fertilizer_Annual Production_RO,Nitrogen Fertilizer,ROU,Romania,-7.84E-06,0.003694694,-0.132301295,2017.049999,0.08957629,-0.111922708,0.083273566,-33.2154659,1961,60,32.62401436,0.460208636,34.63013271,3.305142366,-3250654996,9.034264864,0.214285714,5.90480685,6.9073975,7737.89246,0.594055027,,3,,,,UM,Not Democracy,8.953884637,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
951,Phosphate Fertilizer_Annual Production_NZ,Phosphate Fertilizer,NZL,New Zealand,err,,-0.045056488,2022.259425,0.316891866,-0.034925635,0.31482998,-97.5319939,1961,60,6.89799194,1.180655,27.91255561,3.625101597,-2076586186,10.36237797,10,7.11329865,6.66496985,23940.07922,2.072890909,1.72811797,0,H,,,H,Democracy,10.08330929,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
952,Nitrogen Fertilizer_Annual Production_KR,Nitrogen Fertilizer,KOR,Republic of Korea,0.039193428,-2.34E+41,0.488004717,1968.573839,0.731310137,0.384151037,0.728371884,9.00493171,1961,60,,,17.10094533,3.804051025,,,0.777777778,,,2028.682856,0.806377778,,4,,,,err,Not Democracy,7.615142022,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
953,Phosphate Fertilizer_Annual Production_NL,Phosphate Fertilizer,NLD,Netherlands,-0.016305115,7.11E-15,-0.169216531,2008.494397,0.592825148,-0.121816566,0.565506426,-25.96938442,1961,60,3.84791661,1.766334615,49.80165343,3.732822226,7848435151,27.521927,10,,,26477.03134,2.014416667,1.90173591,0,,,,H,Democracy,10.18403289,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
954,Phosphate Fertilizer_Annual Production_PT,Phosphate Fertilizer,PRT,Portugal,-306.5691951,0,-0.049421338,2013.930425,0.479824642,-0.03411205,0.474393792,-88.91805292,1961,60,,0.994753158,33.37686927,2.998688821,-1280525398,5.487999225,5.134615385,,,16052.06869,1.293422222,1.049015331,1,,,,H,Not Democracy,9.683593011,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
955,Nitrogen Fertilizer_Annual Production_PT,Nitrogen Fertilizer,PRT,Portugal,err,,-0.210912546,2020.093586,0.202917442,-0.18314622,0.203316367,-20.83540901,1961,60,,1.0842484,34.27143592,2.954659586,-1891154846,5.722599486,5.482142857,,,16731.15689,1.302105455,1.084798936,1,H,,,H,Not Democracy,9.725027942,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
956,Phosphate Fertilizer_Annual Production_MA,Phosphate Fertilizer,MAR,Morocco,0.096116519,-2.23E+142,0.064737617,2197.26763,0.912904372,err,0.203316367,67.88092238,1961,60,,0.559871667,31.02591453,3.361554577,-991058305.8,4.095577883,-6.892857143,5.882777733,6.5180556,4455.77915,0.167556873,-0.188126407,5,LM,,,LM,Not Democracy,8.401957218,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
957,Phosphate Fertilizer_Annual Production_MX,Phosphate Fertilizer,MEX,Mexico,0.026323133,-7.44E+16,0.153442074,1972.132255,0.400575792,-14.74992413,-1.301662382,28.63914076,1961,60,,,9.492374708,3.612504382,,,-6,,,6023.5,-0.043818917,,3,,,,err,Not Democracy,8.703423765,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
958,Nitrogen Fertilizer_Annual Production_MX,Nitrogen Fertilizer,MEX,Mexico,0.023468353,-6.31854E+12,0.310965295,1970.262969,0.301135757,0.251366898,0.294571527,14.13163857,1961,60,,,9.63592995,3.698885056,,,-6,,,5811.4,-0.0677557,,3,,,,err,Not Democracy,8.667576785,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
959,Phosphate Fertilizer_Annual Production_PL,Phosphate Fertilizer,POL,Poland,0.06361551,0.099981932,-0.082285407,2023.86336,0.106694455,-0.072770599,0.103373015,-53.40496325,1961,60,,0.7824592,40.34611743,3.402679058,-6084297872,8.567259333,1.379310345,7.0773053,7.0206098,12001.62912,0.998941818,0.544973635,3,,,,H,Not Democracy,9.39279768,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
960,Nitrogen Fertilizer_Annual Production_TT,Nitrogen Fertilizer,TTO,Trinidad and Tobago,0.056941934,-1.96E+70,0.061539424,2032.001228,0.900941587,0.006793922,0.900313316,71.40868249,1961,60,11.5722917,0.085856667,,3.058488899,-224895899.8,0.344400803,7,6.6379015,6.40203085,18936.07191,0.614761481,0.280411508,0,,,,H,Democracy,9.848823949,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
961,Phosphate Fertilizer_Annual Production_TN,Phosphate Fertilizer,TUN,Tunisia,0.02432958,-9.64179E+11,-0.548507038,2019.132495,0.036706218,-0.479013453,0.035253867,-8.011655009,1961,60,,0.660541667,41.42129345,3.375324393,-631497958.2,7.134094917,-5.236363636,5.6150505,7.38276485,6195.464341,0.222322364,0.222863855,3,LM,,,LM,Not Democracy,8.731572745,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
962,Nitrogen Fertilizer_Annual Production_TR,Nitrogen Fertilizer,TUR,Türkiye,0.071576542,-2.59E+99,0.438280247,1978.314871,0.832484309,0.331063483,0.82623649,10.02657361,1961,60,,,7.58266885,3.352789682,-49800000,,7.444444444,,,4528.277778,0.807077778,,0,,,,err,Democracy,8.418096965,1.459433719,High Material Use,,,1913,Mass-customized [2],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,Yes,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
963,Phosphate Fertilizer_Annual Production_ZW,Phosphate Fertilizer,ZWE,Zimbabwe,err,,-1.191273199,2007.780003,0.636109168,-0.886275682,0.634429494,-3.688867641,1961,60,,,31.51380191,3.41873909,-1980820.835,14.363686,-3.24137931,,,1953.383204,0.179155897,-0.971483007,3,,,,L,Not Democracy,7.577318125,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
964,Telephones_Total Number_PY,Telephones,PRY,Paraguay,0.105510687,-8.55E+156,err,err,,err,0.634429494,err,1913,76,,,,,,,,,,,,,,,,,,,,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
965,Telephones_Total Number_GY,Telephones,GUY,Guyana,0.080413229,-6.70E+111,0.081919293,1978.074346,0.994375867,0.019277241,0.991951659,53.64364116,1913,74,,,60.85301426,0.9268894,1764705.883,,1.076923077,,,,0.566469231,,3,,,,err,Not Democracy,,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
966,Radio_Total Number_ZA,Radio,ZAF,South Africa,0.118151429,-1.34E+177,0.105174608,1997.164174,0.999147428,0.02087069,0.998367098,41.78241531,1938,62,12.81254393,0.52694,20.5535095,2.191106611,334140115.6,,4.379310345,,,5419.174347,0.401689474,1.0204959,3,,,,UM,Not Democracy,8.597698748,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
967,Sulphuric Acid_Annual Production_PT,Sulphuric Acid,PRT,Portugal,-0.025969182,0,0.5831812,1842.163896,1.11E-16,13.76583139,0,7.535306617,1938,60,,,,,,,,,,,,,,,,,err,,,6.991051454,High Material Use,,,1838,Customized [3],Complex [3],Firms [1],3048700,Low,30,Decades,No,No,Yes,Chemicals and Industrial,Chemistry; Metallurgy,Annual Production,thousand metric tons
968,Phosphate Fertilizer_Annual Production_VN,Phosphate Fertilizer,VNM,Viet Nam,0.033078005,-5.12E+29,0.151597557,1999.863005,0.904081385,0.103817095,0.89177633,28.98759875,1961,60,17.39152783,,39.2667076,2.088538575,-1799200000,,-7,,,1557.718413,-0.03829492,-0.46584328,3,,,,L,Not Democracy,7.350977474,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
969,Phosphate Fertilizer_Annual Production_TR,Phosphate Fertilizer,TUR,Türkiye,0.07400904,-1.47E+99,0.419872086,1974.643961,0.781638488,0.334732198,0.774689822,10.46616173,1961,60,,,7.188430327,3.3465088,-89000000,,7.133333333,,,4185.2,0.77718,,0,,,,err,Democracy,8.339309772,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
970,Phosphate Fertilizer_Annual Production_VE,Phosphate Fertilizer,VEN,Venezuela (Bolivarian Republic of),0.060260137,-1.75E+73,0.302837356,1978.681884,0.63517802,0.205772381,0.610892411,14.51092168,1961,60,,,21.58466474,2.052851039,102100000,,7.789473684,,,15118.05263,0.684631579,,2,,,,err,Democracy,9.623644847,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
971,Phosphate Fertilizer_Annual Production_UY,Phosphate Fertilizer,URY,Uruguay,0.025957227,-2.11E+18,31.73581728,1965.020531,0.121595917,16.83139004,0.121595913,0.138469702,1961,60,,,12.8083155,,,,8,,,7536.8,0.42582,,2,,,,err,Democracy,8.927552968,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
972,Potash Fertilizer_Annual Production_US,Potash Fertilizer,USA,United States of America,-0.031188608,0,-0.043511856,1965.562763,0.889858453,-0.010074199,0.886566152,-100.9942933,1961,60,4.693333333,,,11.5186954,,,9,,,20157.33333,1.097833333,,2,,,,err,Democracy,9.911323438,3.461481227,High Material Use,,1843,1861,Customized [3],Complex [3],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
973,Phosphate Fertilizer_Annual Production_US,Phosphate Fertilizer,USA,United States of America,err,,0.221463396,1965.005096,0.453715384,0.184043851,0.443407484,19.84277872,1961,60,4.507,,,11.6053935,,,9,,,19683,1.0596,,2,,,,err,Democracy,9.887510598,1.34997619,High Material Use,,,1843,Mass-customized [2],Design-Intensive [2],Firms [1],Expensive,Low,1,Months,No,No,No,Food and Health,Chemistry; Metallurgy,Annual Production,metric tons
