,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit,First Year of Data,Country_Timing
1421,Sulphuric Acid_Annual Production_DZ,Sulphuric Acid,DZA,Algeria,err,,0.08014518488492373,1948.3677376852336,0.0810897166647739,0.0637857248561152,0.0779846481138573,54.83110633511169,1943,54,,,,,,,,,,,,,,,,,err,,,6.991051454,High Material Use,,,1838,Customized [3],Complex [3],Firms [1],3048700,Low,30.0,Decades,No,No,Yes,Chemicals and Industrial,Chemistry; Metallurgy,Annual Production,thousand metric tons,1943,Late
951,Tin_Annual Production_BR,Tin,BRA,Brazil,0.07979152883905444,-1.6348316697600185e+113,0.3738930378960136,1979.139720456436,0.714319167779402,0.2877332289325417,0.6981675326215417,11.75322541281075,1943,61,,,7.764353395,5.763072333333334,-1670800000.0,,-0.7428571428571429,,,3808.216216216216,0.1671345,,2.0,,,,err,Not Democracy,8.244916173767907,0.056071413,Low Material Use,,,1910,Customized [3],Complex [3],Firms [1],Expensive,Low,,Decades,No,No,No,Materials,Fixed Constructions,Annual Production,thousand metric tons,1943,Late
1039,Sulphuric Acid_Annual Production_TR,Sulphuric Acid,TUR,Turkey,0.09219150947098928,-1.889378600869984e+134,0.18199678646711484,1979.9921445688956,0.9073046248136656,0.11841301513887209,0.9101706001366744,24.145751361749873,1944,59,,,7.522319761904762,3.350358352631579,-48857142.85714286,,5.666666666666667,,,3633.6486486486488,0.8183952380952381,,0.0,,,,err,Not Democracy,8.197992559815347,6.991051454,High Material Use,,,1838,Customized [3],Complex [3],Firms [1],3048700,Low,30.0,Decades,No,No,Yes,Chemicals and Industrial,Chemistry; Metallurgy,Annual Production,thousand metric tons,1944,Late
1555,Telegraph Traffic_Total Number_KR,Telegraph Traffic,KOR,South Korea,0.09254293541863044,-1.6962553262701291e+134,0.1287811755625165,1978.2627777802052,0.9971455942702614,0.0549060486563688,0.996771946618854,34.123381274300954,1945,49,,,21.535877842105265,4.475056799999999,-69666666.66666667,,-2.5806451612903225,,,2271.4527757575756,1.0363684210526316,,4.0,,,,err,Not Democracy,7.728174895090136,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1945,Late
517,Nuclear Weapons_Total Number_US,Nuclear Weapons,USA,United States,0.20224554874422115,-inf,0.12716681530653434,1976.880451637468,0.9938622903464316,0.07534353923849961,0.9989993892387772,34.556571571598006,1945,66,6.228148161111111,,6.888652862499999,8.27098295,6675000000.0,,8.909090909090908,,,20005.98392727273,1.2651111111111113,,2.0,,,,err,Democracy,9.90378670414946,3.9e-05,Medium Material Use,,,1945,Customized [3],Complex [3],Firms [1],28000000,Low,25.0,Decades,No,No,Yes,Space and Defense,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,Cumulative Calculation,-,1945,Early
3883,Telegraph Traffic_Total Number_LB,Telegraph Traffic,LBN,Lebanon,0.17908935957235134,-1.5454771033819508e+282,0.1675227161246585,1970.4909745000098,0.9973185862843472,0.03564657123610362,0.9969966040173384,26.231959798230605,1945,27,,,,2.5682694,,,1.0769230769230769,,,6147.809523809524,-1.1071818181818185,,0.0,,,,err,Not Democracy,8.723851122364865,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1945,Late
3517,Postal Traffic_Total Number_LB,Postal Traffic,LBN,Lebanon,0.19980604694764972,-inf,0.1517883707299445,1971.0131498786586,0.9960095719547452,0.03974791590996629,0.9979627532044292,28.951158336700633,1945,28,,,,2.62931258,,,1.148148148148148,,,6210.772727272727,-1.1081666666666667,,0.0,,,,err,Not Democracy,8.734040599919542,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1945,Late
1538,Postal Traffic_Total Number_KR,Postal Traffic,KOR,South Korea,0.134114078171726,-3.925198977415768e+205,0.0978456856117869,2003.6317694018708,0.9976553949662724,0.012769765382034485,0.998487682059491,44.912038044353636,1945,49,9.197777711111112,2.2134811111111117,25.734009911111105,5.413155795348838,-816146428.5714285,,-0.1785714285714285,,,8060.566820338983,1.435466666666667,0.6312894383333333,4.0,,,,H,Not Democracy,8.994739158132072,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1945,Late
1423,Railroad_Total Length_KR,Railroad,KOR,South Korea,err,,0.005036048488528745,3484.6779944854316,0.593987560329897,err,-0.4792549117741345,872.5986583890606,1945,54,6.176512348148149,3.1669656,29.96745988888889,5.980069569999999,7011563043.478261,31.553493928571424,1.457142857142857,7.0194546666666655,7.070398366666666,12772.091379452057,1.544375,0.9950995621739128,4.0,,,,H,Not Democracy,9.455017708479613,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1945,Late
4539,Radio_Total Number_VNM,Radio,,South Vietnam,0.25741463725179486,-inf,0.33975953362634415,1969.3858567405186,0.9998183215278388,0.1477846778842249,0.9987420902494052,12.933998077314596,1954,22,,,,,,,,,,,,,,,,,err,,,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1412,Radio_Total Number_IE,Radio,IRL,Ireland,0.1058640658132074,-2.6730004429559725e+155,0.07740129946893075,2002.119867941916,0.9985951059859388,0.013772342516070967,0.9986419550381108,56.77487567810657,1946,54,,1.152172857142857,55.6812853939394,2.247835075,,,9.789473684210526,,,13965.68395263158,1.5099116279069766,1.64284735,1.0,,,,H,Democracy,9.54435845337988,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1409,Radio_Total Number_IS,Radio,ISL,Iceland,0.10005130972076899,-1.7826794533899758e+148,0.08904138516044509,1989.6473336913798,0.998524394215376,0.028649000623389872,0.9997758112560986,49.35288401852702,1946,54,29.443518555555556,,36.37573319047619,2.2012466620689652,-7464892.989986253,,,,,17383.829268292684,,,1.0,,,,H,,9.763295700689964,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1407,Radio_Total Number_PH,Radio,PHL,Philippines,0.17772832715338957,-7.985357291066945e+281,0.09577120425063496,2011.884595845704,0.9985619008344728,0.0077472198162804335,0.9985932589230626,45.884868933798586,1946,54,14.278644175675671,0.1151716666666666,30.68143125,2.72085976875,-375818127.4653481,,3.0757575757575757,6.1425,7.0933332,3293.6610208955226,0.0972875471698113,-0.0372339718571428,2.0,,,,LM,Not Democracy,8.0997549973959,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1406,Television_Total Number_RU,Television,RUS,Russia,0.241344274062615,-inf,0.16120044989860938,1984.058315808344,0.9991488713372112,0.07634922993179392,0.9996858746031088,27.26077475240563,1946,54,,,,,,,,,,9588.08,,,3.0,,,,err,,9.168275939282504,0.060505183,Low Material Use,,,1936,Standardized [1],Simple [1],Individuals [2],1232.262883,Medium,15.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Early
248,Natural Gas Pipelines_Cumulative Number of Units_RU,Natural Gas Pipelines,RUS,Russia,0.05978458039694837,-3.973721983658481e+76,0.11703462362508052,1984.8326466992316,0.9841645054297126,0.06595881033880882,0.9857731612572624,37.548282880372405,1946,78,,,,,,,,,,9699.115384615385,,,3.0,,,,err,,9.179789962870402,0.049512657,Low Material Use,,,1872,Customized [3],Simple [1],Firms [1],1.59E+11,Low,50.0,Decades,No,Yes,,Infrastructure,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,Cumulative Number of Units,km,1946,Late
1390,Television_Total Number_US,Television,USA,United States,0.24760537385769799,-inf,0.09623115025157308,1991.6030246787386,0.9983790841362936,0.03094741107897109,0.9997116164404,45.6655578072611,1946,56,8.395277709090909,,8.87187221304348,6.036002440000001,-1385000000.0,,9.25531914893617,,,24233.493072340425,1.4788484848484849,,2.0,,,,H,Democracy,10.095490966537708,0.060505183,Low Material Use,,,1936,Standardized [1],Simple [1],Individuals [2],1232.262883,Medium,15.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Early
1420,Radio_Total Number_LB,Radio,LBN,Lebanon,0.1492293508449856,-4.409770975224023e+232,0.12191510754392655,1992.2753757260923,0.9986899736269296,0.03800208024088285,0.9998545978975746,36.045156693062836,1946,54,29.58719718181818,,85.85206250000002,3.6283509375,,,1.3448275862068966,,,5572.332669767441,-1.009106060606061,,0.0,,,,LM,Not Democracy,8.625569036952282,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
134,Radio_Total Number_SV,Radio,SLV,El Salvador,0.1462557971569609,-2.4925946009614595e+226,0.09868953792387113,2005.3440086279595,0.9987225025243602,0.012593924598431653,0.9987390152361384,44.52801428721154,1946,54,,0.08818,33.34455880487805,1.6926866894594592,-118404240.57240532,,0.1509433962264151,,,3658.786163333333,-0.1864090869565217,-0.5583693742857143,4.0,,,,LM,Not Democracy,8.204886722025122,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1416,Radio_Total Number_NP,Radio,NPL,Nepal,0.14595844343371964,-1.0386894369412406e+227,0.14892044735810778,1995.4179528954307,0.9997458325336952,0.03963798930230854,0.999586993693548,29.50870234834269,1946,54,,,17.29069083870968,1.8648331003571428,,,-5.041666666666667,,,1080.843152173913,-0.6687083333333335,,5.0,,,,L,Not Democracy,6.985496711990629,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
83,Radio_Total Number_UY,Radio,URY,Uruguay,0.10510297731435754,-8.156023283432561e+156,0.09319684117517768,1985.1023070213178,0.9978873910678266,0.03556862398360933,0.9997874027701296,47.15234013578208,1946,54,70.03001750000001,,16.46020275,2.75718142,-83725000.0,,1.894736842105263,,,8010.025,0.252975,,2.0,,,,err,Not Democracy,8.988449161156161,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
125,Radio_Total Number_CR,Radio,CRI,Costa Rica,0.13301572363257283,-4.626327226061344e+205,0.09619318752993594,2008.9831636309154,0.9973936246188656,0.007086790488959437,0.9969061271300108,45.68357975771266,1946,54,25.235130571428577,0.3694063636363636,38.035497459999995,1.8273193,-481783231.9151303,43.09271366666667,9.6875,,,6709.3239953125,0.6324639999999999,0.2483419284545454,2.0,,,,UM,Democracy,8.811253479035456,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
64,Radio_Total Number_MX,Radio,MEX,Mexico,0.1343162029417498,-2.6007384430465234e+206,0.1101914685986094,1987.3834037203062,0.9970603313771876,0.04124039901174582,0.9993910760549988,39.880121488170246,1946,54,,,10.23448757142857,3.8284491846153847,-2128111111.1111112,,-5.214285714285714,,,6331.714285714285,0.1495383214285714,,3.0,,,,err,Not Democracy,8.753326297701479,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
47,Radio_Total Number_ES,Radio,ESP,Spain,0.1298443396861121,-3.6617142677664496e+199,0.10366561989638681,1987.2831091927821,0.9980721624736508,0.03780624258519436,0.9998669606629954,42.390612809383335,1946,54,,,16.912025,6.363024334615384,-1464458082.8591952,,-2.7435897435897436,,,8736.404761904761,0.9118,,4.0,,,,err,Not Democracy,9.07525402954698,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
69,Radio_Total Number_PE,Radio,PER,Peru,0.09602755020297604,-1.0603669830288756e+139,0.0723043942842615,2007.4292166115358,0.9970967016348244,0.012092518470411364,0.9979944478233292,60.77706892053972,1946,54,314.16232439130425,0.1095599999999999,18.666505739583336,1.34381831097561,-1106747297.8698118,,1.6440677966101696,4.8333335,5.9273334,5571.440888709678,0.1486042147916666,-0.423123483,2.0,,,,LM,Not Democracy,8.625408986848072,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
56,Radio_Total Number_CL,Radio,CHL,Chile,0.10450148779146656,-2.1699710561947252e+153,0.08232435844961913,1999.7067185486746,0.999333487030386,0.01618208983941435,0.9993788152826084,53.379695116139345,1946,54,25.0716923125,,21.54174868292683,1.840344191891892,-1127698862.174142,,1.8909090909090909,,,8590.471538181819,0.8108121951219511,1.1469906,2.0,,,,UM,Not Democracy,9.05840890732289,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
443,Radio_Total Number_AL,Radio,ALB,Albania,0.15054322197246417,-4.1225042188328885e+236,0.10547307661452887,1998.7568871493415,0.9992142453549216,0.02154268037774613,0.9996342688563804,41.6641791035714,1946,54,13.674230769230771,,31.686969450000003,1.2021845999999998,-53101250.0,,-6.7924528301886795,,,3097.3067439999995,0.0888497499999999,-0.7105952200000001,4.0,,,,LM,Not Democracy,8.03828822059645,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
446,Radio_Total Number_AF,Radio,AFG,Afghanistan,0.16526847447708118,-8.519961535225491e+258,0.20200734434018078,1997.982138054008,0.9975905981540404,0.041334902806308464,0.996215944957961,21.753907854321266,1946,54,,,14.599813631578948,0.1196744285624999,,,-8.5,,,1108.0535836734691,-1.2134641025641024,-2.1387292,3.0,,,,L,Not Democracy,7.010360226854015,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
91,Radio_Total Number_EC,Radio,ECU,Ecuador,0.16660601833099603,-2.6058553226031916e+263,0.15005215300827696,1995.6435599552121,0.998904372995152,0.03666729484543967,0.9975202718413002,29.286145293963486,1946,54,,0.07406,16.952448702702704,2.064925946875,-163990952.3809524,,2.693877551020408,,,4875.017241176471,-0.0312167162162162,-0.4753117,2.0,,,,LM,Not Democracy,8.491878920077278,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
78,Radio_Total Number_LR,Radio,LBR,Liberia,0.18196478706132296,-1.331504319175005e+291,0.10656655047038695,1995.8156087201353,0.998423874026499,0.02673025517496734,0.9995912898570276,41.23666511935734,1946,54,15.996428785714286,,,1.058859894117647,-451849.8721205985,,-6.090909090909091,,,3360.354159574468,-0.7837756756756756,-1.7195029,3.0,,,,L,Not Democracy,8.11980165203783,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
526,Radio_Total Number_PA,Radio,PAN,Panama,0.12402748486093433,-2.8177901388508775e+189,0.07741756759017089,1992.6990228735915,0.9871064022717152,0.025826925789671183,0.991726814801218,56.76294530377842,1946,54,,,62.22655552941176,0.846200233846154,-25647058.82352941,,-1.2708333333333333,,,4995.6827791666665,-0.4711349999999999,,2.0,,,,LM,Not Democracy,8.516329374266942,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
75,Radio_Total Number_BO,Radio,BOL,Bolivia,0.12787938348503325,-3.5715070198604748e+196,0.133940940584749,1993.7883536155841,0.9992457157674628,0.0374180608959243,0.998287932960964,32.808856914752816,1946,54,45.550520375,,25.862587057142857,0.9436731639285716,-33694736.84210526,,0.5918367346938775,,,3321.13535510204,-0.7913714285714286,,4.0,,,,LM,Not Democracy,8.108061977878933,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
1508,Radio_Total Number_SY,Radio,SYR,Syria,0.17261455353194702,-1.2888062819391053e+272,0.09756476776844344,1990.5343289329628,0.9884162622011746,0.03471515928984451,0.993362789708512,45.04135309481861,1946,54,,,26.657544624999996,1.5714822885714288,,,-6.0256410256410255,,,7156.9553,-0.1486931249999999,,4.0,,,,LM,Not Democracy,8.875839932085448,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
46,Radio_Total Number_CN,Radio,CHN,China,0.17544609249319132,-6.0639704146598465e+280,0.12228372647208484,2003.1800761728866,0.998157769645981,0.015897307828951726,0.9979411452257496,35.93650014972035,1946,54,7.905,0.82627625,8.742799313636365,4.6261069374999995,-20093678314.663803,,-7.413793103448276,,,2244.73265,0.1205572727272727,-0.198549012,3.0,,,,LM,Not Democracy,7.716341706225263,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
49,Radio_Total Number_NL,Radio,NLD,Netherlands,0.09379852160078195,-5.218031165574859e+134,0.0748889270261887,1990.4413436825162,0.9964172959291302,0.024373957803505673,0.9985541063469592,58.67955823610209,1946,54,,,46.29290827272727,4.286225427586206,2205352216.092304,,10.0,,,17336.6,1.8125161290322584,,0.0,,,,H,Democracy,9.760575152677273,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
479,Radio_Total Number_ET,Radio,ETH,Ethiopia,0.18230808557355657,-8.226205791837834e+290,0.1885715985085759,1993.143190136477,0.9992228971897062,0.06557015754870256,0.9995330893308858,23.303876031323917,1946,54,7.527777777777778,,,,-5845410.63084319,,,,,851.7133363636364,-0.954008823529412,,5.0,,,,L,,6.747250010546969,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1946,Late
2268,Telephones_Total Number_TN,Telephones,TUN,Tunisia,0.1310930571896322,-3.120937902610855e+199,0.08647799327692791,2023.5779378930522,0.998636402432718,err,0.9978471158028336,50.815808602312536,1947,42,,0.6605416666666666,41.99818996551724,3.3965359258620693,-628503726.3715935,7.136726923076923,-5.466666666666667,5.6150505,7.38276485,5515.738142028986,0.2113719642857142,0.1893811318434782,3.0,,,,LM,Not Democracy,8.615360765347795,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
2283,Telephones_Total Number_MG,Telephones,MDG,Madagascar,0.1355088373370375,-9.301438072683856e+206,0.1084594503380706,1983.431323636666,0.9970792912955628,0.03188390177837692,0.9991089385717524,40.51697792100956,1947,42,,,19.841599020833332,0.9106046209090908,-1106032.4739788685,,-2.125,,,1721.5882352941176,-0.9215208333333332,,3.0,,,,err,Not Democracy,7.451002536355662,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1862,Telephones_Total Number_MZ,Telephones,MOZ,Mozambique,0.14728454030886795,-4.293111550753472e+228,0.13255770498346392,1981.7949918416753,0.9993256816694074,0.03961007935301984,0.9992721652810485,33.151216334204264,1947,42,,,,,,,-8.0,,,2187.5454545454545,-0.7105875,,3.0,,,,err,Not Democracy,7.690535397236664,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
3694,Telephones_Total Number_VN,Telephones,VNM,Vietnam,0.14898958492367176,-4.7448915325075954e+234,0.3203293782577862,2004.3784975448475,0.9987389054342708,0.03305719796906727,0.9983491568164102,13.718533025515976,1947,56,14.20333335,0.19273,44.67328905263157,2.432888525,-1639555555.5555556,,-7.0,,,1599.0012,0.0167078275862068,-0.4574380233333333,3.0,,,,L,Not Democracy,7.377134463302716,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1397,Telephones_Total Number_TR,Telephones,TUR,Turkey,0.15668757735044306,-1.6062785926780977e+248,0.13756015220261966,2008.0971286733507,0.9996615487736876,0.012004650940160578,0.9992350432109134,31.945654932102876,1947,56,,0.5162053846153847,15.158219744897956,4.521670797826088,-2305542857.142857,1.9866805,6.475409836065574,7.389302,8.208767,6718.6353241935485,0.9222632653061226,0.0517541661,0.0,,,,UM,Democracy,8.812640336137406,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1402,Telephones_Total Number_AO,Telephones,AGO,Angola,0.12270225276038577,-2.0265211567587403e+187,0.09561723830655354,1995.1053007571481,0.9976605793084308,0.027901535048525657,0.9988666468014232,45.95875422153085,1947,56,206.25,,,1.3493867575,-229416636.36363637,,-7.0,,,1846.9992260869565,-0.9168380952380952,,3.0,,,,L,Not Democracy,7.5213175611883,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
2212,Telephones_Total Number_ID,Telephones,IDN,Indonesia,0.15486983719383723,-1.5427723147537034e+241,0.09654427383352963,1998.9118747586954,0.997258191137995,0.012609812373173959,0.9980460177077763,45.5174499758499,1947,42,22.52922621428572,,21.114297105,3.032433640625,-1174346265.0794277,,-4.735849056603773,,,2718.5036196078427,-0.427008475,-0.6999266,4.0,,,,L,Not Democracy,7.907836868057534,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1381,Telephones_Total Number_CD,Telephones,COD,Democratic Republic of the Congo,0.11207620593912132,-2.994057512572564e+169,0.10629043863015437,1977.8987957381619,0.9952113363067152,0.054259527571307614,0.9985736399053584,41.34378605740124,1947,56,,,,1.26609141,,,-9.0,,,1168.551724137931,-1.1840894736842105,,4.0,,,,err,Not Democracy,7.063520418414659,0.002086838,Low Material Use,1876,,1877,Standardized [1],Simple [1],Both [3],1088.64,High,6.5,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1436,Radio_Total Number_IN,Radio,IND,India,0.1719389491776408,-1.1341861230554153e+274,0.1215333489789629,2002.6050135306375,0.9997634615744688,0.018250327365092037,0.9999070569183656,36.158381148808026,1947,53,15.245192269230769,0.7114400000000001,8.146428765909091,6.497228236585366,-1844485311.3183856,,7.173076923076923,,,1619.5395859649122,0.1155892727272727,-0.149900114,0.0,,,,L,Democracy,7.389897181637697,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1588,Railroad_Total Length_BD,Railroad,BGD,Bangladesh,err,,0.1210167149717283,1927.7868735802624,0.6458737378158215,0.1184475000836281,0.6454951585993745,36.312745356697725,1947,46,,,,,,,,,,,,,,,,,err,,,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1947,Late
1431,Radio_Total Number_PK,Radio,PAK,Pakistan,0.20840991501248493,-inf,0.12984948732256205,1993.9803031504234,0.9988442623959995,0.03739330543211658,0.9998701243669847,33.84263769756817,1947,53,,,17.404054314285712,2.801976433333333,-145290579.71614665,,0.9090909090909092,,,1629.5154222222222,-0.1943533714285714,,4.0,,,,L,Not Democracy,7.396037962622042,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1947,Late
1496,Radio_Total Number_KR,Radio,KOR,South Korea,0.18121367423625478,-2.34749487765952e+281,0.17052049126585334,1991.7457855423347,0.9995667900522042,0.060687861224712494,0.9995464279303512,25.77079811376561,1948,52,,,24.729594,5.209144683870967,-29818750.0,,-2.1818181818181817,,,4744.278933333332,1.230090909090909,,4.0,,,,UM,Not Democracy,8.46469473602609,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1948,Late
1499,Radio_Total Number_IL,Radio,ISR,Israel,0.1289530159100396,-1.1243659803582253e+198,0.07671624280717737,2010.183520793781,0.9972335112961488,0.01058651784531665,0.997879548424787,57.281860970664034,1948,52,,3.774648,34.7709896875,2.7060287061224493,-384925000.0,16.863398749999998,7.873015873015873,,,16599.25902295082,1.5351980392156863,1.1483525366666667,0.0,,,,H,Democracy,9.717113336176729,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10.0,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-,1948,Late
